Kepler_OI_Name,Number_of_Planets,Planet_Radius_Earth,Equalibrium_Temp_K,Orbit_Period_Days,Star_Radius_Sun,Star_Temp_K,Star_Mass_Sun,Star_Surface_Gravity,Planet_Star_Radius_Ratio,Status
K00622.01,1,26.44,511.0,155.042265,3.322,4994.0,1.3,3.509,0.072873,2
K07638.01,1,1.47,837.0,25.0032023,1.685,6148.0,1.176,4.055,0.007962,2
K07634.01,1,15.11,500.0,80.84069,1.597,5511.0,1.089,4.069,0.08665,2
K07635.01,1,1.59,511.0,60.458443,1.181,5865.0,1.008,4.297,0.012311,2
K00626.02,2,0.99,1040.0,8.0292018,1.191,6063.0,1.009,4.29,0.007627,2
K04136.01,2,1.19,1507.0,2.41750021,1.308,5575.0,0.965,4.189,0.008341,2
K04136.02,2,1.23,1270.0,4.03357434,1.308,5575.0,0.965,4.189,0.008579,2
K02220.04,5,1.6,1106.0,7.66462913,1.515,5640.0,1.024,4.087,0.009699,2
K04144.01,1,0.99,2299.0,0.487656278,0.937,5957.0,1.026,4.506,0.009643,2
K04145.01,1,0.96,1220.0,3.25424652,1.004,5692.0,0.968,4.421,0.008748,2
K02220.05,5,1.05,797.0,11.9294568,0.9,5975.0,0.891,4.48,0.010682,2
K04149.01,2,1.71,996.0,9.54699216,1.232,6274.0,1.261,4.357,0.012712,2
K04149.02,2,1.82,862.0,14.708641,1.232,6274.0,1.261,4.357,0.013504,2
K04157.01,2,0.77,1282.0,3.82315697,1.122,6202.0,1.213,4.422,0.006294,2
K00255.02,3,0.75,397.0,13.6032081,0.511,3780.0,0.531,4.746,0.013466,2
K04021.01,2,1.53,1207.0,7.23531329,1.421,6422.0,1.22,4.219,0.009843,2
K04152.01,1,8.0,839.0,64.1862264,2.758,6951.0,1.618,3.766,0.026574,2
K02303.02,2,1.83,1124.0,8.93484887,1.347,6688.0,1.336,4.304,0.012415,2
K04021.02,2,1.02,1372.0,4.93211932,1.421,6422.0,1.22,4.219,0.00655,2
K04022.01,1,2.04,1685.0,4.85819429,2.326,6109.0,1.188,3.78,0.008031,2
K07644.01,1,0.81,1191.0,3.39904814,0.929,5766.0,0.876,4.444,0.007945,2
K02250.02,2,1.76,1711.0,0.626281766,0.823,4922.0,0.79,4.505,0.019583,2
K07648.01,1,0.8,1293.0,1.183505016,0.746,4832.0,0.791,4.592,0.00985,2
K02357.02,2,3.79,863.0,15.9042402,1.53,5583.0,1.017,4.077,0.022682,2
K02193.02,2,1.32,763.0,4.16288745,0.651,4478.0,0.637,4.615,0.018573,2
K04097.02,2,0.55,699.0,4.44902309,0.603,4353.0,0.648,4.681,0.00834,2
K04098.01,1,2.39,2384.0,1.121733366,2.571,5023.0,1.157,3.682,0.008523,2
K07641.01,1,1.36,1383.0,3.79437277,1.507,5455.0,0.877,4.025,0.008244,2
K04105.01,1,3.14,263.0,363.41165,0.999,6025.0,1.08,4.472,0.028751,2
K02257.02,2,1.81,401.0,59.284064,0.859,5225.0,0.861,4.505,0.0193,2
K04037.01,1,3.36,361.0,215.956008,1.313,6163.0,1.174,4.27,0.023402,2
K07645.01,1,0.55,1232.0,2.00870696,0.759,5341.0,0.705,4.526,0.006628,2
