Number of Planets,Planet-Star Radius Ratio,Orbit Period (Days),Planet Radius (Earth),Equalibrium Temp (K),Star Temp (K),Star Radius,Star Mass,Star Surface Gravity,Status
1,0.016596,0.525426427,1.45,2069.0,5791.0,0.802,0.889,4.575,0
2,0.016909,1.269091415,1.41,1331.0,5041.0,0.766,0.807,4.576,1
2,0.016317,2.853133997,1.36,1016.0,5041.0,0.766,0.807,4.576,1
1,0.019,6.79685353,2.01,985.0,6061.0,0.97,1.05,4.486,1
1,0.326603,8.667822346,67.37,1303.0,6266.0,1.889,1.089,3.923,0
3,0.011027,1.475323222,5.88,2740.0,4941.0,4.885,1.808,3.317,1
3,0.01428,4.15246118,7.62,1941.0,4941.0,4.885,1.808,3.317,1
2,0.015161,8.7348852,1.59,890.0,5982.0,0.96,1.047,4.493,1
1,0.019462,10.26547688,1.81,770.0,5699.0,0.853,0.95,4.553,0
1,0.335281,3.305577989,25.89,1027.0,5534.0,0.707,0.786,4.629,0
1,0.124793,4.800653901,16.91,1347.0,6715.0,1.241,1.256,4.347,0
1,0.317877,15.06649901,56.44,932.0,5751.0,1.626,1.028,4.028,0
1,0.132704,34.82008158,11.36,459.0,5114.0,0.784,0.746,4.522,0
1,0.290399,0.651784374,33.65,2090.0,5555.0,1.061,0.975,4.375,0
